x,y,z,pitch,yaw,ok,err
0.25,-0.1,0.02,0.0,0.0,0,0.17532022780288004
0.25,-0.1,0.02,0.0,0.3,0,0.21460350376350756
0.25,-0.1,0.02,0.0,0.6,0,0.0014533795595672943
0.25,-0.1,0.02,0.225,-0.6,0,0.294463610697268
0.25,-0.1,0.02,0.225,-0.3,0,0.41327590965350414
0.25,-0.1,0.02,0.225,0.0,0,0.27094442355601767
0.25,-0.1,0.02,0.225,0.3,1,5.109252147528251e-05
0.25,-0.1,0.02,0.225,0.6,1,5.301188055123577e-05
0.25,-0.1,0.02,0.45,-0.6,0,0.13722326861170211
0.25,-0.1,0.02,0.45,-0.3,0,0.0427864069681443
0.25,-0.1,0.02,0.45,0.0,0,0.033277660490643964
0.25,-0.1,0.02,0.45,0.3,1,7.481461380194635e-05
0.25,-0.1,0.02,0.45,0.6,1,5.176092496235411e-05
0.25,-0.1,0.02,0.675,-0.6,1,6.058120315988198e-05
0.25,-0.1,0.02,0.675,-0.3,1,5.0875044734222264e-05
0.25,-0.1,0.02,0.675,0.0,1,6.0709855781827765e-05
0.25,-0.1,0.02,0.675,0.3,1,7.757292656507427e-05
0.25,-0.1,0.02,0.675,0.6,1,5.103192864463283e-05
